cycle_num,spike_step,cycle_length,membrane_potential_1,membrane_potential_2,membrane_potential_3,membrane_potential_4,membrane_potential_5,membrane_potential_6,membrane_potential_7,membrane_potential_8,membrane_potential_9,membrane_potential_10,membrane_potential_11,membrane_potential_12,membrane_potential_13,membrane_potential_14,membrane_potential_15,membrane_potential_16,membrane_potential_17,membrane_potential_18,membrane_potential_19,membrane_potential_20,membrane_potential_21,membrane_potential_22,membrane_potential_23,membrane_potential_24,membrane_potential_25,membrane_potential_26,membrane_potential_27,membrane_potential_28,membrane_potential_29,membrane_potential_30,membrane_potential_31,membrane_potential_32,membrane_potential_33,membrane_potential_34,membrane_potential_35,membrane_potential_36,membrane_potential_37
193,1494,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
194,1496,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,1509,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
196,1511,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,1524,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
198,1526,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,1539,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
200,1541,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,1554,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
202,1556,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1569,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
204,1571,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1584,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
206,1586,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1599,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
208,1601,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1614,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
210,1616,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,1629,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
212,1631,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1644,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
214,1646,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,1659,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
216,1661,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,1674,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
218,1676,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,1689,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
220,1691,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1704,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
222,1706,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,1719,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
224,1721,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,1734,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
226,1736,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,1749,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
228,1751,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,1764,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
230,1766,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,1779,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
232,1781,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1794,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
234,1796,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,1809,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
236,1811,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,1824,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
238,1826,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,1839,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
240,1841,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,1854,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
242,1856,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,1869,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
244,1871,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,1884,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
246,1886,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,1899,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
248,1901,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,1914,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
250,1916,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,1929,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
252,1931,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,1944,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
254,1946,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,1959,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
256,1961,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,1974,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
258,1976,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,1989,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
260,1991,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,2004,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
262,2006,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,2019,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
264,2021,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,2034,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
266,2036,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,2049,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
268,2051,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,2064,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
270,2066,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,2079,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
272,2081,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2094,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
274,2096,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,2109,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
276,2111,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,2124,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
278,2126,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,2139,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
280,2141,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,2154,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
282,2156,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2169,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
284,2171,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,2184,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
286,2186,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,2199,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
288,2201,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,2214,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
290,2216,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,2229,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
292,2231,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,2244,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
294,2246,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,2259,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
296,2261,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,2274,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
298,2276,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,2289,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
300,2291,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,2304,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
302,2306,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,2319,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
304,2321,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,2334,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
306,2336,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,2349,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
308,2351,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,2364,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
310,2366,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2379,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
312,2381,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,2394,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
314,2396,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,2409,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
316,2411,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,2424,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
318,2426,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,2439,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
320,2441,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,2454,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
322,2456,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,2469,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
324,2471,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,2484,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
326,2486,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,2499,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
328,2501,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,2514,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
330,2516,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,2529,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
332,2531,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,2544,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
334,2546,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,2559,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
336,2561,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,2574,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
338,2576,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,2589,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
340,2591,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,2604,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
342,2606,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,2619,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
344,2621,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,2634,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
346,2636,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,2649,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
348,2651,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,2664,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
350,2666,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,2679,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
352,2681,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,2694,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
354,2696,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,2709,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
356,2711,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,2724,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
358,2726,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,2739,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
360,2741,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,2754,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
362,2756,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,2769,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
364,2771,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,2784,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
366,2786,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,2799,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
368,2801,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,2814,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
370,2816,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,2829,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
372,2831,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,2844,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
374,2846,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,2859,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
376,2861,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,2874,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
378,2876,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,2889,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
380,2891,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,2904,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
382,2906,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,2919,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
384,2921,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,2934,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
386,2936,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,2949,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
388,2951,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,2964,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
390,2966,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,2979,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
392,2981,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,2994,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
394,2996,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
